@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}

@data
32,'2020/06/08 14:56:47:044',2,-787.71283,-254.559631,-306.976318,-163.674957,-896.710876,-433.013214,-233.3517,-332.513458,-0.605984,-0.628451,0.157587,-199.202637,544.077454,-212.027603,-109.08297,-396.161987,611.651672,-401.720856,1,1
33,'2020/06/08 14:56:47:117',2,-787.134583,-254.22728,-307.15213,-163.324463,-896.408081,-432.559479,-233.673264,-332.010681,-0.604913,-0.629571,1.40655,-199.187195,544.916382,-209.944092,-108.410133,-395.307373,610.715759,-402.053894,1,1
34,'2020/06/08 14:56:47:189',2,-787.116577,-254.221375,-307.152313,-163.31279,-896.408081,-432.533051,-233.661362,-331.97699,-0.604716,-0.629687,4.005715,-198.426376,542.304443,-211.689514,-106.145653,-394.410065,610.849304,-401.75235,1,1
35,'2020/06/08 14:56:47:263',2,-787.116089,-254.222595,-307.152008,-163.312759,-896.407471,-432.535156,-233.660675,-331.977783,-0.60472,-0.62969,3.677309,-198.92598,543.860962,-210.44426,-107.516182,-395.455048,611.039673,-401.688019,1,1
36,'2020/06/08 14:56:47:336',2,-787.116089,-254.222595,-307.152008,-163.312759,-896.407471,-432.535156,-233.660675,-331.977783,-0.60472,-0.62969,4.818283,-199.006241,544.60376,-209.028107,-106.591118,-394.768921,610.849182,-400.876099,1,1
37,'2020/06/08 14:56:47:418',2,-787.116089,-254.222595,-307.152008,-163.312759,-896.407471,-432.535156,-233.660675,-331.977783,-0.60472,-0.62969,4.415341,-200.739197,544.819519,-211.061874,-107.031479,-396.44873,611.354553,-401.801697,1,1
38,'2020/06/08 14:57:19:057',3,-733.849365,-617.642639,-308.303558,-771.256775,-930.076172,-496.694458,-220.941132,-559.623108,-0.436677,-0.37236,-34.614429,-827.116638,684.012085,-847.817871,-167.424652,-619.715942,787.229065,-623.486877,2,2
39,'2020/06/08 14:57:19:145',3,-731.778259,-617.072144,-308.450073,-771.467163,-927.992188,-495.425323,-220.807587,-560.065186,-0.433884,-0.371549,-34.611584,-827.121277,684.009155,-847.823547,-167.424072,-619.720947,787.229858,-623.49408,2,2
40,'2020/06/08 14:57:19:224',3,-34.611584,-827.121277,684.009155,-847.823547,-167.424072,-619.720947,787.229858,-623.49408,0.084684,0.007057,-733.764221,-617.795227,-309.707214,-771.626221,-929.806458,-496.604919,-220.793732,-560.651184,2,2
41,'2020/06/08 14:57:19:293',3,-34.611,-827.121948,684.009705,-847.823792,-167.423904,-619.721741,787.230286,-623.494202,0.084675,0.007056,-738.289429,-621.054199,-309.29303,-771.315918,-934.391602,-501.455322,-219.253815,-560.49231,2,2
42,'2020/06/08 14:57:19:365',3,-735.539429,-622.792786,-309.592407,-770.859924,-931.735107,-502.815552,-219.246536,-560.197083,-0.427754,-0.371141,-33.679886,-831.693848,685.459534,-851.561035,-167.083557,-624.650146,783.867126,-625.976746,2,2
43,'2020/06/08 14:57:19:437',3,-735.552551,-622.803101,-309.609711,-770.870789,-931.743347,-502.817383,-219.256821,-560.209473,-0.427782,-0.371143,-32.565506,-831.924255,682.670654,-851.231812,-167.093262,-625.802917,783.959656,-626.91449,2,2
44,'2020/06/08 14:57:19:508',3,-735.552551,-622.803101,-309.609711,-770.870789,-931.743347,-502.817383,-219.256821,-560.209473,-0.427782,-0.371143,-30.903801,-831.950989,684.524231,-852.800354,-167.168472,-626.796509,783.900391,-627.71051,2,2
45,'2020/06/08 14:57:19:578',3,-735.552551,-622.803101,-309.609711,-770.870789,-931.743347,-502.817383,-219.256821,-560.209473,-0.427782,-0.371143,-30.859201,-831.984863,684.505493,-852.783569,-167.162033,-626.842896,783.902405,-627.704773,2,2
46,'2020/06/08 14:57:19:648',3,-735.552551,-622.803101,-309.609711,-770.870789,-931.743347,-502.817383,-219.256821,-560.209473,-0.427782,-0.371143,-28.041422,-829.302612,677.649353,-850.679504,-168.661682,-625.592407,782.398682,-628.181519,2,2
47,'2020/06/08 14:57:19:719',3,-735.552551,-622.803101,-309.609711,-770.870789,-931.743347,-502.817383,-219.256821,-560.209473,-0.427782,-0.371143,-31.427145,-830.208679,675.35083,-851.004761,-169.85112,-627.118835,780.971436,-628.923889,2,2
48,'2020/06/08 14:57:19:789',3,-735.552551,-622.803101,-309.609711,-770.870789,-931.743347,-502.817383,-219.256821,-560.209473,-0.427782,-0.371143,-31.399532,-830.243164,675.385742,-850.98999,-169.831604,-627.154114,780.992615,-628.900757,2,2
49,'2020/06/08 14:57:19:860',3,-735.552551,-622.803101,-309.609711,-770.870789,-931.743347,-502.817383,-219.256821,-560.209473,-0.427782,-0.371143,-31.399532,-830.243164,675.385742,-850.98999,-169.831604,-627.154114,780.992615,-628.900757,2,2
50,'2020/06/08 14:57:19:931',3,-31.399414,-830.243347,675.385742,-850.989929,-169.831528,-627.154297,780.992615,-628.900757,0.062156,0.0058,-735.680908,-623.225342,-313.837006,-773.560852,-931.763184,-500.950928,-224.324997,-561.531433,2,2
51,'2020/06/08 14:57:20:000',3,-31.399414,-830.243347,675.385742,-850.989929,-169.831528,-627.154297,780.992615,-628.900757,0.062156,0.0058,-736.806213,-622.578064,-314.331604,-773.019531,-933.485962,-500.69278,-223.676239,-561.5755,2,2
52,'2020/06/08 14:57:20:072',3,-31.399368,-830.243958,675.385803,-850.990173,-169.831604,-627.154846,780.992737,-628.90094,0.062158,0.0058,-734.681885,-625.5,-314.317963,-774.219727,-932.585449,-505.986328,-225.021545,-562.20813,2,2
53,'2020/06/08 14:57:20:142',3,-734.750427,-625.422302,-314.335114,-774.158752,-932.605164,-505.859253,-225.038559,-562.159668,-0.423517,-0.377546,-33.254177,-830.945129,675.537476,-851.665771,-172.316467,-626.048218,782.231506,-629.102905,2,2
54,'2020/06/08 14:57:20:214',3,-734.754761,-625.422668,-314.336395,-774.156433,-932.607422,-505.856628,-225.041382,-562.156311,-0.423529,-0.377545,-27.447716,-835.841187,671.404785,-851.803406,-169.21521,-632.981628,779.837708,-631.546631,2,2
55,'2020/06/08 14:57:20:301',3,-737.484924,-623.651733,-314.212708,-773.459656,-932.792908,-497.215637,-225.781021,-559.63092,-0.410644,-0.361443,-27.078987,-837.053406,669.27124,-853.651367,-169.291702,-634.776917,779.864441,-634.43512,2,2
56,'2020/06/08 14:57:20:386',3,-735.894897,-622.963623,-315.467346,-770.659607,-932.392334,-498.146973,-226.331711,-557.615967,-0.414175,-0.364839,-27.035877,-837.266846,669.411438,-853.657349,-169.251709,-634.929688,779.979614,-634.407043,2,2
57,'2020/06/08 14:57:20:458',3,-735.690735,-622.616211,-315.32785,-770.178223,-932.165344,-497.902557,-226.313919,-557.211853,-0.413589,-0.364709,-24.288521,-836.427856,669.672058,-853.789429,-169.540878,-634.88916,784.101379,-635.432556,2,2
58,'2020/06/08 14:57:20:527',3,-734.457275,-627.347839,-313.795929,-768.333252,-931.548157,-503.213226,-226.104523,-554.442261,-0.415912,-0.372837,-24.278625,-836.424133,669.661377,-853.794922,-169.542236,-634.894165,784.098022,-635.442139,2,2
59,'2020/06/08 14:57:20:596',3,-737.18103,-626.76886,-314.964539,-768.281128,-935.345337,-504.253632,-226.018967,-555.19928,-0.419015,-0.37387,-26.871607,-837.496643,670.497864,-854.160522,-170.579208,-632.850098,787.47998,-635.881226,2,2
60,'2020/06/08 14:57:20:665',3,-738.25116,-624.92157,-314.792969,-769.346863,-935.43103,-499.445862,-225.928329,-555.585266,-0.416152,-0.365224,-26.340961,-836.886902,668.13324,-852.438477,-170.827179,-633.844055,785.053894,-634.725586,2,2
61,'2020/06/08 14:57:20:734',3,-738.273987,-624.925232,-314.78537,-769.339478,-935.449829,-499.448486,-225.920319,-555.575989,-0.416127,-0.365186,-26.299297,-836.886169,668.164551,-852.450989,-170.826782,-633.872681,785.069458,-634.727417,2,2
62,'2020/06/08 14:57:20:805',3,-738.273987,-624.925232,-314.78537,-769.339478,-935.449829,-499.448486,-225.920319,-555.575989,-0.416127,-0.365186,-26.28462,-836.882996,668.156677,-852.449036,-170.824371,-633.88031,785.069885,-634.730103,2,2
63,'2020/06/08 14:57:20:876',3,-738.273987,-624.925232,-314.78537,-769.339478,-935.449829,-499.448486,-225.920319,-555.575989,-0.416127,-0.365186,-26.28462,-836.882996,668.156677,-852.449036,-170.824371,-633.88031,785.069885,-634.730103,2,2
64,'2020/06/08 14:57:20:944',3,-738.273987,-624.925232,-314.78537,-769.339478,-935.449829,-499.448486,-225.920319,-555.575989,-0.416127,-0.365186,-26.284307,-836.88324,668.156982,-852.449097,-170.824326,-633.880676,785.070068,-634.730103,2,2
65,'2020/06/08 14:57:21:018',3,-738.274841,-624.925293,-314.785339,-769.338867,-935.450562,-499.448547,-225.92041,-555.575256,-0.416127,-0.365185,-25.990978,-837.503723,668.390381,-852.36731,-170.784012,-635.412659,783.491577,-634.200562,2,2
66,'2020/06/08 14:57:21:090',3,-738.274841,-624.925293,-314.785339,-769.338867,-935.450562,-499.448547,-225.92041,-555.575256,-0.416127,-0.365185,-26.634037,-838.632324,664.596802,-848.175903,-170.459778,-636.115479,783.40271,-632.023926,2,2
67,'2020/06/08 14:57:21:163',3,-737.250793,-625.111084,-313.09549,-765.400635,-933.802124,-498.201385,-224.801514,-551.086487,-0.405057,-0.358564,-22.965313,-841.33667,666.862854,-849.437439,-169.186188,-640.841064,781.52301,-632.059082,2,2
68,'2020/06/08 14:57:21:235',3,-736.516602,-628.573547,-313.093842,-764.990662,-933.796265,-503.963959,-225.533188,-551.104309,-0.411768,-0.369319,-23.429811,-838.927307,666.434937,-849.546509,-169.596176,-638.209961,782.757935,-632.575562,2,2
69,'2020/06/08 14:57:21:307',3,-738.218811,-622.156128,-313.496948,-765.0802,-935.732178,-496.429657,-230.220551,-549.33844,-0.418047,-0.367646,-28.713062,-838.480225,667.373535,-850.302124,-169.905777,-634.887817,782.60437,-632.867615,2,2
70,'2020/06/08 14:57:21:385',3,-736.556824,-624.648193,-312.988922,-765.130005,-930.717407,-495.404633,-225.166672,-551.12915,-0.401502,-0.354405,-27.730837,-835.880005,666.320679,-847.807983,-170.783508,-632.127075,789.263977,-632.227356,2,2
71,'2020/06/08 14:57:21:472',3,-737.369446,-620.309875,-312.822479,-764.746826,-931.222473,-490.359955,-225.788391,-549.994263,-0.399742,-0.348843,-28.97963,-836.492737,667.100586,-849.312195,-172.449692,-632.509521,789.155396,-632.872131,2,2
72,'2020/06/08 14:57:21:555',3,-740.956665,-615.863281,-312.982391,-764.690063,-935.507629,-487.799408,-228.226303,-550.106384,-0.410345,-0.35233,-31.459198,-836.725464,667.676208,-850.125366,-173.410599,-633.101685,785.106689,-632.15863,2,2
73,'2020/06/08 14:57:21:626',3,-739.635742,-621.359924,-313.029114,-765.593933,-933.163635,-492.984802,-226.59462,-551.679138,-0.412379,-0.356517,-30.261322,-836.052856,670.109131,-851.758362,-172.484207,-633.462036,783.140869,-632.51123,2,2
74,'2020/06/08 14:57:21:697',3,-739.710144,-621.268677,-312.738708,-765.282776,-933.114075,-492.938263,-226.503693,-551.37738,-0.41115,-0.355939,-30.077055,-838.22467,668.397583,-852.567871,-172.003311,-635.4776,783.095093,-634.217102,2,2
75,'2020/06/08 14:57:21:767',3,-740.071838,-622.951294,-313.29245,-765.00531,-933.851868,-495.407745,-226.801483,-550.936157,-0.411988,-0.359542,-32.393604,-839.026917,670.031616,-850.685852,-171.963852,-634.871948,782.530701,-631.353882,2,2
76,'2020/06/08 14:57:21:838',3,-737.760803,-622.866943,-312.972778,-764.541992,-930.885132,-494.165588,-225.754532,-550.472961,-0.401465,-0.353797,-31.415134,-838.791992,673.243042,-850.142944,-169.559937,-634.538818,782.502197,-630.03241,2,2
77,'2020/06/08 14:57:21:907',3,-31.414703,-838.792175,673.243408,-850.142334,-169.559982,-634.539246,782.502075,-630.031738,0.049157,0.004573,-738.152405,-623.110168,-313.032684,-764.07666,-931.222351,-494.473938,-226.163269,-549.905029,2,2
