@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}

@data
57,'2020/05/08 10:53:48:403',2,-531.508118,-465.745758,372.970215,-55.397854,-326.580719,-480.425415,369.470947,-252.106934,-0.099067,-0.540967,2
58,'2020/05/08 10:53:48:470',2,-531.508118,-465.745758,372.970215,-55.397854,-326.580719,-480.425415,369.470947,-252.106934,-0.099067,-0.540967,2
59,'2020/05/08 10:53:48:534',2,-531.508118,-465.745758,372.970215,-55.397854,-326.580719,-480.425415,369.470947,-252.106934,-0.099067,-0.540967,2
60,'2020/05/08 10:54:05:992',3,-578.02124,-936.06897,159.379227,-30.822069,-471.230194,-746.74115,158.357178,-222.843201,-0.068063,-0.292633,3
61,'2020/05/08 10:54:06:061',3,-574.297302,-936.059692,157.759003,-26.556746,-469.213226,-746.513367,158.046997,-220.507294,-0.070228,-0.297501,3
62,'2020/05/08 10:54:06:135',3,-574.217773,-936.15094,157.751404,-26.536942,-469.15741,-746.572998,158.051483,-220.489777,-0.07022,-0.297405,3
63,'2020/05/08 10:54:06:209',3,-571.637756,-939.786133,159.784943,-23.434267,-466.255341,-748.473755,158.317261,-219.121246,-0.062949,-0.289512,3
64,'2020/05/08 10:54:06:275',3,-566.395752,-942.326843,160.12413,-23.22574,-465.7771,-747.803589,157.667435,-219.876556,-0.072669,-0.273282,3
65,'2020/05/08 10:54:06:343',3,-567.260742,-942.396118,160.144485,-22.705673,-465.989929,-748.262756,157.788864,-217.534393,-0.057903,-0.278088,3
66,'2020/05/08 10:54:06:425',3,-567.197144,-942.056946,160.97612,-23.648098,-465.72757,-747.84729,157.569763,-217.488922,-0.047528,-0.277038,3
67,'2020/05/08 10:54:06:498',3,-566.983521,-942.685181,160.885391,-24.388582,-464.886444,-748.423584,158.124207,-217.724716,-0.059098,-0.274905,3
68,'2020/05/08 10:54:06:564',3,-564.921387,-941.753662,164.132004,-23.675949,-464.391724,-748.03772,160.221649,-217.767807,-0.055075,-0.280859,3
69,'2020/05/08 10:54:06:628',3,-564.921387,-941.753662,164.132004,-23.675949,-464.391724,-748.03772,160.221649,-217.767807,-0.055075,-0.280859,3
70,'2020/05/08 10:54:06:699',3,-564.848694,-940.239746,164.214828,-25.22847,-464.222015,-748.059326,161.937515,-217.306229,-0.05376,-0.290103,3
